unique_id,f_name_english,f_name_arabic,facility_category_name_english,facility_category_name_arabic,facilitysubcategorynameenglish,facilitysubcategorynamearabic,address_line_one,address_line_two_english,address_line_two_arabic,po_box,website,telephone_1,telephone_2,fax,expiry_date,status,area_id,x_coordinate,y_coordinate,email,area_english,area_arabic
163,Dental Club Clinic Owned By Hessa Abdulla One Person Company LLC,عيادة دنتل كليب كلينك لمالكها حصة عبد الله شركة الشخص الواحد ش.ذ.م.م,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),"Aswaaq, Al Mizhar",Al Mizhar First,Al Mezhar - 1,,,971-55-5080908,,,3/7/2021,FAC_ACT,88,25.25053227,55.45416087,info@dentalclubclinic.com,Al Mezhar - 1,Al Mezhar - 1
170,Park Dental Center,مركز بارك لطب الأسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Murdoof Building,Shk. Zayed Roda,Al Safa - 1,,www.parkdentalcenter.ae,971-055-2222111,,,4/2/2021,FAC_ACT,116,25.170577,55.150404,hosam007@hotmail.com,Al Safa - 1,Al Safa - 1
171,Borna Medical Spa Laser Center LLC , بُرنا ميديكال سبا ليزر سنتر ش ذ م م ,Plastic Surgery,الجراحة التجميلية,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jumeirah Terrace,2nd December Street 14,Jumeira - 1,,,971-50-2550383,,,4/4/2021,FAC_ACT,106,25.23936232,55.27085417,laserspa@eim.ae,Jumeira - 1,Jumeira - 1
173,Bettercare  Medical Center L L C Branch,مركز بيتر كير الطبية ش ذ م م  فرع,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Riviera Dreams,Central Business District 20,Warsan - 1,,,971-055-3480267,,,5/19/2020,FAC_ACT_AEX,158,25.170577,55.150404,dubaishanghaiclinic@gmail.com,Warsan - 1,Warsan - 1
178,Houston Clinic,عيادة هوستن,General Practice,طب عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Elite Busnes Center,Al Seedaf Road 1,Al Barshaa - 1,,,971-54-4845454,,,2/25/2021,FAC_ACT,132,25.1165384,55.20612357,houstonclinicdubai@gmail.com,Al Barshaa - 1,Al Barshaa - 1
181,Armada Medical Centre,مركز أرمادا الطبي,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Armada Tower 2,gg,Jumeira Lakes Towers,,,971-55-1957766,,,4/28/2021,FAC_ACT,140,25.07466287,55.14472319,,Jumeira Lakes Towers,Jumeira Lakes Towers
183,Dr Humeira Badsha Medical Center,مركز دكتوره حميرا بادشا الطبي,Rheumatology,الروماتيزم,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Habtoor Business Tower,Marsa Dubai,,,,971-50-6409533,,,7/11/2020,FAC_ACT,,90,90,doctorbadsha@gmail.com,,
184,Smile Spa Dental Clinic,عيادة سمايل سبا لطب الاسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Corner City,Al Rebat Street,Nad Al Hamar,,,971-50-8772721,,,5/20/2020,FAC_ACT_AEX,143,25.2177092,55.37498159,smilespa@emirates.net.ae,Nad Al Hamar,Nad Al Hamar
186,Aestheticon JLT,اسثيثيكؤن جي ال ثى,Plastic Surgery,الجراحة التجميلية,Specialty Clinic,عيادة تخصصية ,Swiss Tower,Al Sarayat Street,Al Thanayah 5,,,971-55-4803708,,,5/16/2021,FAC_ACT,228,25.07780766,55.15293172,,Al Thanayah 5,Al Thanayah 5
189,American Center For Psychiatry And Neurology,المركز الأمريكي النفسي والعصبي,Psychiatry,طب الأمراض النفسية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Sunset Mall,Jumeira Street 500,Jumeira - 3,,,971-52-6028641,,,8/11/2020,FAC_ACT,115,25.18316562,55.22579989,hr2@americancenteruae.com,Jumeira - 3,Jumeira - 3
191,Boston Diabetes And Endocrine Center,مركز بوسطن للسكري و الغدد الصماء,"Internal Medicine (Endocrinology, Diabetes And Metabolism)",الطب الباطني (الغدد الصماء والسكري والأيض),PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),"Villa 1,JF2 Villas",5B ,,,www.bdec.ae,971-50-6255584,,,5/27/2020,FAC_ACT_AEX,,90,90,bdec@eim.ae,,
197,Medcare Orthopaedics And Spine Hospital,ميدكير لجراحة العظام و العمود الفقري,Orthopedic Surgery,جراحة العظام,General Hospital (<50),مستشفى (أقل من 50 سرير),"Sheikh Ahmad Bin Saeed Building, Al Safa First Dubai UAE",Sheikh Zayed Road,Al Safa - 1,,www.medcare.ae,971-55-4007055,,,10/25/2020,FAC_ACT,116,25.17885711,55.24734365,info@medcarehospital.com,Al Safa - 1,Al Safa - 1
204,Euro Arabian Medical Center L Lc,المركز الأوروبي العربي الطبي ش ذ م م,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),-,Al Wasl Road 0–300,Jumeira - 2,,www.eah.com,971-056-1555148,,,6/13/2020,FAC_ACT_AEX,111,25.19647622,55.24641354,dr.masmi@hotmail.com,Jumeira - 2,Jumeira - 2
205,Marina Dental Center Br,مارينا دنتال سنتر فرع,,,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Block 18,alfalak st,Al Sufouh - 1,,www.oralimplantologist.com,971-50-4568100,,,6/13/2021,FAC_ACT,131,25.10265826,55.16322792,souheilh@emirates.net.ae,Al Sufouh - 1,Al Sufouh - 1
208,Super Care Pharmacy Marsa,صيدلية سوبركير مرسى,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Silveren,Dubai Marina,Dubai Marina and Jumeira Beach,,,971-50-1035227,,,6/9/2020,FAC_ACT_AEX,139,25.07588683,55.13819564,scmar@gmggroup.ae,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
209,Alneem Pharmacy,صيدلية النيم,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,"Riviera Dreams,",international city,Warsan - 1,,,971-55-9878099,,,6/9/2020,FAC_ACT_AEX,158,25.16801686,55.40615341,alneempharmacy@gmail.com,Warsan - 1,Warsan - 1
210,Eycare Optics International Llc Branch,العناية بالعين العالمية للنظارات ش.ذ.م.م فرع,Optometry,بصريات,Optical Center,مركز بصري,Jebal Ali Shopping Centre-Ramla Supermarket,Dubai Investment Park,Dubai Investments Park 1,,,971-050-4213737,,,6/12/2020,FAC_ACT_AEX,151,25.170577,55.150404,eyecaredip@gmail.com,Dubai Investments Park 1,Dubai Investments Park 1
212,La Perla Dental Clinic JLT,عياده اللؤلؤه للاسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jbc2 Tower Cluster V 904/905,Jumeirah Lake Towers Jlt Dubai,Jumeira Lakes Towers,,www.laperladental.com,971-55-4489263,,,6/13/2020,FAC_ACT_AEX,140,25.170577,55.150404,info@laperladental.com,Jumeira Lakes Towers,Jumeira Lakes Towers
213,Sehaty Polyclinic,مجمع صحتى الطبى,Pediatric Gastroenterology,طب الأطفال أمراض الجهاز الهضمي,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Albarjeel Oasis Complex,"47 Street,Mirdiff",,,,971-50-6123323,,,6/13/2020,FAC_ACT_AEX,,90,90,sehati@eim.ae,,
221,Adam Vital,آدم فيتال,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Index Building,Nad Al Hamar Road,Dubai Festival City,,www.adamvital.ae,056-246-3070,,,6/24/2020,FAC_ACT_AEX,142,25.20171917,55.37497803,hr@adamvital.ae,Dubai Festival City,Dubai Festival City
222,Alpha Optical Llc Branch,الفا للبصريات ش ذ.م.م فرع,Optometry,بصريات,Optical Center,مركز بصري,Festival Power Centre,Festival Boulevard,Unnamed,,www.alpha-optical.com,971-050-5595564,,,6/4/2020,FAC_ACT_AEX,168,25.22268742,55.35554217,alphaho@alpha-optical.net,Unnamed,Unnamed
225,Aga Khan Early Learning Centre,مركز الاغاخان للتعليم المبكر,Nursing,التمريض,School clinic,عيادة مدرسة,Ismaili Centre,Street 11A,Oudh Metha,,www.akelcdubai.org,971-55-4149707,,,6/26/2020,FAC_ACT_AEX,43,25.170577,55.150404,kelli.allen@akelcdubai.org,Oudh Metha,Oudh Metha
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
